站点代码，数据时间，气温，气压，相对湿度，风向，风俗，降雨量，能见度
58015,58015,29.7,1018.0,1665832459,55,6.1,0.7,10195.5
58102,58102,33.2,1000.2,1665832519,61,5.4,0.4,10327.9
58118,58118,21.0,1013.1,1665832579,49,0.5,0.6,10059.4
58122,58122,9.4,1006.8,1665832639,58,2.0,1.5,10018.0
58203,58203,18.8,1005.5,1665832699,33,12.1,0.6,10037.0
58215,58215,21.8,1001.6,1665832759,14,1.0,1.3,10072.7
58221,58221,12.5,1006.7,1665832819,21,13.4,0.0,10413.0
58225,58225,28.0,1007.1,1665832879,50,13.6,0.2,10254.4
58236,58236,22.2,1009.2,1665832939,79,13.2,0.3,10231.9
58311,58311,1.7,1003.9,1665832999,99,2.7,1.5,10327.4
58314,58314,4.7,1002.7,1665833059,6,2.6,0.9,10381.5
58319,58319,10.9,1026.2,1665833119,1,0.5,0.5,10064.0
58321,58321,26.4,1012.5,1665833179,100,7.4,0.1,10142.1
58326,58326,7.4,1014.5,1665833239,59,4.2,1.2,10360.4
58336,58336,2.7,1002.1,1665833299,34,1.0,1.4,10437.0
58338,58338,30.1,1020.0,1665833359,55,11.4,1.0,10236.8
58414,58414,24.3,1010.3,1665833419,29,12.0,0.3,10162.5
58419,58419,27.5,1014.3,1665833479,77,10.1,0.6,10274.3
58424,58424,12.8,1024.4,1665833539,19,1.6,1.5,10190.3
58429,58429,10.5,1006.4,1665833599,41,0.6,0.6,10324.8
58436,58436,18.4,1005.7,1665833659,19,6.2,1.4,10406.8
58437,58437,31.7,1012.2,1665833719,73,3.8,0.9,10106.9
58520,58520,14.3,1017.7,1665833779,96,13.4,1.3,10360.5
58531,58531,11.2,1007.4,1665833839,25,0.5,0.4,10399.6
54406,54406,12.3,1010.5,1665833899,64,11.5,0.1,10499.3
54416,54416,20.4,1000.2,1665833959,92,1.1,0.4,10493.7
54511,54511,17.5,1015.9,1665834019,70,5.6,0.9,10494.7
58725,58725,20.2,1024.3,1665834079,80,4.3,1.5,10498.8
58730,58730,15.7,1019.0,1665834139,74,13.2,1.2,10162.4
58731,58731,5.3,1011.1,1665834199,85,5.3,0.3,10131.2
58734,58734,15.5,1006.5,1665834259,80,6.4,0.9,10276.6
58737,58737,2.3,1004.9,1665834319,38,9.2,0.8,10496.6
58744,58744,29.8,1023.9,1665834379,36,14.4,1.2,10325.7
58754,58754,25.3,1004.1,1665834439,54,1.7,1.3,10441.8
58818,58818,6.5,1015.9,1665834499,47,6.4,0.9,10277.5
58820,58820,19.8,1014.9,1665834559,14,13.8,1.5,10175.2
58834,58834,1.0,1007.6,1665834619,28,4.5,1.4,10187.4
58837,58837,16.9,1009.0,1665834679,63,6.6,0.0,10178.1
58843,58843,16.5,1010.2,1665834739,8,7.6,0.5,10208.4
58846,58846,27.4,1000.5,1665834799,50,5.7,1.1,10040.0
58847,58847,11.8,1021.1,1665834859,96,3.9,1.1,10035.7
58911,58911,31.0,1021.7,1665834919,12,0.8,1.4,10298.2
58918,58918,22.8,1014.9,1665834979,49,10.3,1.5,10003.4
58921,58921,29.2,1025.2,1665835039,15,9.5,1.2,10284.5
58926,58926,17.6,1011.9,1665835099,76,9.7,0.6,10486.4
58927,58927,26.2,1012.5,1665835159,88,8.3,0.2,10213.7
58931,58931,25.4,1008.6,1665835219,51,2.2,1.5,10078.6
58933,58933,26.1,1022.8,1665835279,6,2.3,0.4,10477.2
58936,58936,24.1,1008.8,1665835339,87,6.9,0.1,10218.4
58944,58944,19.3,1002.0,1665835399,60,8.3,0.6,10412.1
59113,59113,1.7,1004.7,1665835459,83,2.5,0.0,10286.1
59126,59126,10.5,1004.5,1665835519,21,9.6,1.0,10404.7
59133,59133,5.6,1004.7,1665835579,76,4.0,0.5,10035.4
59134,59134,14.9,1023.1,1665835639,89,1.3,0.4,10061.3
59321,59321,3.9,1018.6,1665835699,66,14.5,0.3,10483.1
52323,52323,31.8,1015.7,1665835759,15,1.7,0.2,10052.3
52418,52418,23.3,1016.9,1665835819,34,6.8,0.8,10493.0
52424,52424,24.6,1000.1,1665835879,91,9.7,1.5,10434.8
52436,52436,34.8,1017.6,1665835939,87,2.9,0.7,10295.0
52446,52446,1.0,1001.9,1665835999,56,3.3,0.5,10043.4
52447,52447,7.4,1014.7,1665836059,15,2.4,0.7,10021.3
52533,52533,31.1,1017.2,1665836119,81,7.8,1.0,10116.8
52546,52546,1.4,1008.1,1665836179,76,8.4,0.1,10353.1
52652,52652,26.1,1007.4,1665836239,77,11.3,0.7,10336.0
52661,52661,3.2,1013.2,1665836299,5,5.9,0.6,10229.9
52674,52674,10.4,1020.7,1665836359,72,12.4,1.5,10092.8
52679,52679,32.5,1008.2,1665836419,6,7.5,0.0,10213.9
52681,52681,19.1,1017.0,1665836479,22,1.0,0.5,10409.0
52787,52787,3.4,1016.5,1665836539,7,3.4,1.0,10403.4
52797,52797,5.5,1016.0,1665836599,43,14.7,1.3,10133.4
52884,52884,0.8,1013.5,1665836659,91,3.9,0.7,10206.3
52895,52895,26.8,1010.5,1665836719,31,12.7,1.1,10276.6
52983,52983,18.8,1019.7,1665836779,26,13.4,0.7,10394.2
52984,52984,9.1,1016.0,1665836839,63,12.7,0.4,10124.4
52986,52986,22.7,1013.9,1665836899,57,3.6,0.2,10003.5
52996,52996,5.4,1000.5,1665836959,37,12.7,1.5,10253.3
53821,53821,15.9,1022.2,1665837019,84,2.7,0.8,10241.0
53915,53915,5.7,1007.9,1665837079,97,4.1,0.6,10170.6
53923,53923,4.6,1008.4,1665837139,48,8.6,1.1,10453.2
56074,56074,26.0,1019.8,1665837199,74,5.0,0.2,10182.5
56080,56080,32.6,1025.6,1665837259,19,10.5,0.9,10235.1
56093,56093,24.3,1014.4,1665837319,90,11.0,0.1,10297.3
56096,56096,9.1,1021.1,1665837379,31,11.2,0.5,10423.7
57014,57014,33.3,1022.4,1665837439,14,13.9,0.2,10278.3
57996,57996,21.6,1023.0,1665837499,18,8.3,0.3,10433.1
59072,59072,34.5,1007.1,1665837559,89,5.7,0.1,10272.0
59082,59082,27.5,1022.9,1665837619,52,6.0,0.5,10220.3
59087,59087,1.8,1020.2,1665837679,60,4.8,0.4,10232.6
59088,59088,0.2,1012.2,1665837739,70,6.5,0.6,10013.2
59096,59096,1.9,1008.8,1665837799,10,7.1,0.5,10278.7
59097,59097,30.5,1014.3,1665837859,83,4.2,1.4,10448.5
59107,59107,23.9,1024.7,1665837919,59,8.2,0.9,10100.5
59116,59116,28.3,1026.0,1665837979,5,1.0,1.3,10052.7
59117,59117,29.7,1016.4,1665838039,54,4.2,0.6,10035.3
59271,59271,29.0,1003.3,1665838099,79,14.1,0.8,10441.6
59278,59278,16.7,1005.6,1665838159,58,11.6,0.4,10175.0
59280,59280,22.5,1001.2,1665838219,81,8.3,0.8,10286.3
