站点代码，数据时间，气温，气压，相对湿度，风向，风俗，降雨量，能见度
58015,58015,7.6,1019.7,-1363843573,84,14.5,1.5,10388.0
58102,58102,31.1,1011.0,-1363843513,39,10.8,0.8,10301.2
58118,58118,11.5,1019.3,-1363843453,48,2.9,0.9,10007.0
58122,58122,23.6,1019.5,-1363843393,34,13.3,1.0,10319.7
58203,58203,28.8,1001.0,-1363843333,18,6.2,0.1,10483.0
58215,58215,1.6,1012.9,-1363843273,58,8.4,1.2,10488.2
58221,58221,22.3,1011.9,-1363843213,71,0.2,0.1,10374.6
58225,58225,0.8,1004.0,-1363843153,74,9.8,0.6,10129.6
58236,58236,32.1,1000.9,-1363843093,61,0.9,0.6,10259.8
58311,58311,27.0,1011.0,-1363843033,39,12.9,1.2,10360.4
58314,58314,14.8,1002.6,-1363842973,78,7.0,0.7,10035.2
58319,58319,29.2,1004.8,-1363842913,25,1.9,0.5,10421.6
58321,58321,18.3,1024.2,-1363842853,48,2.6,1.2,10025.0
58326,58326,20.5,1019.3,-1363842793,77,7.3,1.1,10161.5
58336,58336,29.0,1014.5,-1363842733,41,11.1,0.1,10433.3
58338,58338,16.4,1021.3,-1363842673,4,8.7,0.7,10117.5
58414,58414,8.6,1022.5,-1363842613,36,3.9,1.5,10029.9
58419,58419,3.0,1024.3,-1363842553,70,13.1,1.4,10246.0
58424,58424,17.5,1025.1,-1363842493,64,7.8,1.2,10319.3
58429,58429,14.5,1025.8,-1363842433,14,9.2,1.2,10143.9
58436,58436,7.2,1007.7,-1363842373,54,7.7,0.4,10053.8
58437,58437,28.5,1021.5,-1363842313,2,6.8,1.5,10301.5
58520,58520,18.5,1009.7,-1363842253,60,3.0,1.4,10379.3
58531,58531,18.4,1003.3,-1363842193,2,0.2,1.4,10398.7
54406,54406,32.6,1003.3,-1363842133,13,13.2,0.1,10015.9
54416,54416,23.8,1024.5,-1363842073,93,3.5,0.9,10245.7
54511,54511,30.6,1015.4,-1363842013,10,8.3,0.0,10493.0
58725,58725,31.2,1025.2,-1363841953,37,7.1,0.1,10382.3
58730,58730,26.0,1001.9,-1363841893,6,13.9,0.6,10413.8
58731,58731,22.3,1007.7,-1363841833,73,4.7,1.2,10431.5
58734,58734,24.6,1014.7,-1363841773,33,2.4,0.9,10407.3
58737,58737,7.5,1005.4,-1363841713,16,0.4,0.4,10370.3
58744,58744,33.3,1021.1,-1363841653,84,14.5,1.2,10477.7
58754,58754,21.5,1025.0,-1363841593,26,10.0,0.9,10443.8
58818,58818,32.2,1014.8,-1363841533,59,7.2,1.0,10461.0
58820,58820,23.1,1025.7,-1363841473,77,4.3,0.7,10414.8
58834,58834,4.5,1012.7,-1363841413,92,14.1,0.2,10439.0
58837,58837,32.6,1019.2,-1363841353,2,12.9,1.4,10492.5
58843,58843,21.5,1006.7,-1363841293,27,4.0,0.0,10080.7
58846,58846,12.0,1017.2,-1363841233,96,11.1,1.5,10075.6
58847,58847,9.5,1019.8,-1363841173,59,6.6,0.2,10142.6
58911,58911,15.7,1001.3,-1363841113,62,9.7,1.0,10481.5
58918,58918,26.6,1022.3,-1363841053,6,12.2,0.4,10208.8
58921,58921,2.6,1025.3,-1363840993,10,14.7,0.4,10401.1
58926,58926,4.5,1007.4,-1363840933,16,14.7,0.5,10262.5
58927,58927,27.1,1007.9,-1363840873,54,10.8,0.6,10144.4
58931,58931,32.6,1020.1,-1363840813,97,2.6,1.0,10331.4
58933,58933,10.0,1017.8,-1363840753,89,10.8,1.3,10213.2
58936,58936,10.9,1020.0,-1363840693,40,13.4,1.4,10029.0
58944,58944,5.7,1001.1,-1363840633,5,1.1,1.4,10405.5
59113,59113,32.7,1013.6,-1363840573,49,0.9,0.8,10054.9
59126,59126,14.0,1016.2,-1363840513,65,14.2,0.8,10100.1
59133,59133,5.6,1015.6,-1363840453,46,1.1,1.2,10019.0
59134,59134,30.9,1004.0,-1363840393,10,7.1,0.9,10228.3
59321,59321,11.9,1024.5,-1363840333,8,5.4,1.1,10418.3
52323,52323,28.2,1018.9,-1363840273,6,0.6,0.1,10150.2
52418,52418,31.7,1013.2,-1363840213,85,3.3,0.9,10150.1
52424,52424,21.1,1022.5,-1363840153,41,5.5,0.5,10198.6
52436,52436,0.5,1015.2,-1363840093,61,9.4,1.2,10120.9
52446,52446,3.7,1015.2,-1363840033,64,3.1,1.2,10470.5
52447,52447,24.9,1011.6,-1363839973,1,1.8,1.2,10017.1
52533,52533,29.6,1016.6,-1363839913,59,3.1,0.6,10097.1
52546,52546,19.3,1002.2,-1363839853,78,7.1,1.3,10215.3
52652,52652,2.4,1007.4,-1363839793,7,8.7,1.3,10021.1
52661,52661,31.6,1016.4,-1363839733,98,3.2,1.3,10373.4
52674,52674,25.0,1014.8,-1363839673,47,5.1,1.2,10239.7
52679,52679,33.3,1014.7,-1363839613,9,6.1,1.3,10225.5
52681,52681,4.5,1021.4,-1363839553,28,13.4,1.4,10200.9
52787,52787,2.3,1024.2,-1363839493,100,14.9,0.4,10435.7
52797,52797,28.6,1022.5,-1363839433,56,13.1,0.2,10025.7
52884,52884,0.0,1010.0,-1363839373,52,1.9,1.1,10433.5
52895,52895,2.3,1018.6,-1363839313,42,2.1,0.5,10155.0
52983,52983,34.2,1005.7,-1363839253,82,1.4,1.3,10154.9
52984,52984,18.4,1002.6,-1363839193,26,7.9,0.5,10277.8
52986,52986,10.0,1019.7,-1363839133,76,9.9,1.4,10043.3
52996,52996,17.0,1001.5,-1363839073,18,13.6,0.3,10075.9
53821,53821,32.5,1013.7,-1363839013,33,14.1,1.3,10157.9
53915,53915,30.5,1009.3,-1363838953,19,8.2,0.3,10390.9
53923,53923,31.7,1017.1,-1363838893,52,11.5,0.6,10320.0
56074,56074,4.1,1007.2,-1363838833,44,9.7,1.3,10252.8
56080,56080,33.5,1007.9,-1363838773,6,0.8,1.3,10022.3
56093,56093,5.0,1015.0,-1363838713,5,5.3,0.2,10182.3
56096,56096,7.2,1018.2,-1363838653,98,9.6,0.9,10118.6
57014,57014,21.1,1005.2,-1363838593,48,3.4,0.6,10074.4
57996,57996,3.3,1023.0,-1363838533,55,8.1,0.7,10105.5
59072,59072,21.8,1015.6,-1363838473,72,10.6,1.1,10429.9
59082,59082,21.7,1004.1,-1363838413,29,11.9,1.0,10246.2
59087,59087,7.2,1024.9,-1363838353,22,5.8,0.8,10112.8
